主订单编号,选购商品,收件人,收件人手机号,省,市,区,街道,详细地址,快递信息
"	4837547671241433008",[秋日宠粉福利]葡萄牙进口Renova彩色手帕纸单条装6小包随身装-芒果香黄色-(5601028020633),***,***,***,***,***,***,***,中通速递-75501728743386
"	4837547460799879088",[秋日宠粉福利]葡萄牙进口Renova彩色手帕纸单条装6小包随身装-薄荷香绿色-(5601028020596),***,***,***,***,***,***,***,中通速递-75501728743386
"	4837547258967904102",[秋日宠粉福利]葡萄牙进口Renova彩色手帕纸单条装6小包随身装-薰衣草香淡紫-(5601028020657),***,***,***,***,***,***,***,中通速递-75501728679218
"	4837547228869185212",葡萄牙进口Renova彩色卷纸黑标6卷-黑色-(RZH-100122),***,***,***,***,***,***,***,
"	4837547207393105670",葡萄牙进口Renova彩色卷纸黑标6卷-黑色-(RZH-100122),***,***,***,***,***,***,***,中通速递-75501728638606
"	4837547138659595854",葡萄牙进口Renova彩色卷纸黑标6卷-红色-(RZH-100123),***,***,***,***,***,***,***,中通速递-75501728679261
"	4837547134369768971",葡萄牙进口Renova彩色卷纸黑标6卷-橙色-(RZH-100124),***,***,***,***,***,***,***,中通速递-75501728637916
"	4837547108603811769",[秋日宠粉福利]葡萄牙进口Renova彩色手帕纸单条装6小包随身装-香橙香橙色-(5601028020619),***,***,***,***,***,***,***,中通速递-75501728684016
"	4837547031300064650",[秋日宠粉福利]葡萄牙进口Renova彩色手帕纸单条装6小包随身装-芒果香黄色-(5601028020633),***,***,***,***,***,***,***,
"	4837546683396019932",葡萄牙进口Renova彩色卷纸黑标6卷-橙色-(RZH-100124),***,***,***,***,***,***,***,
"	4837546923915287937",葡萄牙进口Renova彩色卷纸黑标6卷-黑色-(RZH-100122),***,***,***,***,***,***,***,中通速递-75501728870011
"	4837546902446777973",[秋日宠粉福利]葡萄牙进口Renova彩色手帕纸单条装6小包随身装-蓝莓香蓝色-(5601028020626),***,***,***,***,***,***,***,中通速递-75501728681017
"	4837546889575341749",葡萄牙进口Renova彩色卷纸黑标6卷-蓝色-(RZH-100120),***,***,***,***,***,***,***,中通速递-75501728684044
